% Model:              reactor_model_6-2_with_err.mph
% Version:            COMSOL 5.4.0.346
% Date:               May 27 2019, 15:38
% Dimension:          1
% Nodes:              939
% Expressions:        1
% Description:        Line graph
% r                       Height
0                         0.6966425475278409
2.5798473197132997E-5     0.6966447470838809
5.159694639426599E-5      0.6966469466106155
7.729104102652226E-5      0.6966524823399075
1.0298513565877851E-4     0.6966580178306176
1.2857527403350774E-4     0.6966684778884065
1.5416541240823695E-4     0.6966789368123457
1.7965201512416107E-4     0.696687969580164
2.051386178400852E-4      0.6966970014779167
2.3052210379422458E-4     0.6967016911516629
2.55905589748364E-4       0.6967063804475909
2.811863761429125E-4      0.6967034487102509
3.06467162537461E-4       0.6967005171527713
3.316456648866444E-4      0.6966880554533027
3.568241672358279E-4      0.6966755943766522
3.8190079937273956E-4     0.6966544214794296
4.069774315096512E-4      0.6966332498086699
4.319526055930388E-4      0.6966070676769174
4.569277796764264E-4      0.6965808879042874
4.8180190619748496E-4     0.6965547554286913
5.066760327185435E-4      0.6965286266394651
5.314617799573455E-4      0.6965066164156983
5.562475271961475E-4      0.6964846104970326
5.810797119998878E-4      0.6964678088320038
6.059118968036283E-4      0.6964510110746847
6.308278079217181E-4      0.6964373878635793
6.557437190398078E-4      0.696423767864582
6.80743638771031E-4       0.6964088244739446
7.057435585022543E-4      0.6963938840907226
7.308277700972322E-4      0.6963723393354769
7.559119816922101E-4      0.6963507976580738
7.81080769356582E-4       0.6963189016888207
8.062495570209539E-4      0.696287008497345
8.315032059186131E-4      0.6962447498875911
8.567568548162724E-4      0.6962024939522458
8.820956510726045E-4      0.6961540647238998
9.074344473289365E-4      0.6961056398756119
9.328586780340434E-4      0.6960574381391739
9.582829087391502E-4      0.696009244354544
9.837928619511125E-4      0.6959667249746575
0.0010093028151630747     0.6959242166943579
0.0010348987799112114     0.6958892812447188
0.001060494744659348      0.6958543577125512
0.0010861739238757079     0.6958243233549728
0.001111853103092068      0.6957943001205457
0.0011374729807562428     0.6957631317968866
0.0011630928584204176     0.695731973883581
0.0011885762927201118     0.6956930132336725
0.001214059727019806      0.6956540624844317
0.0012394074446092204     0.6956033459848899
0.0012647551621986347     0.6955526383019165
0.0012899678858620373     0.6954910770528109
0.00131518060952544       0.6954295240851577
0.001340259058197784      0.695362586124304
0.0013653375068701278     0.6952956588315313
0.0013902823956575367     0.6952305410321196
0.0014152272844449457     0.6951654389803587
0.0014400393246451228     0.6951076052266646
0.0014648513648453        0.695049791701212
0.0014895312639677982     0.6950007295736138
0.0015142111630902964     0.694951689076402
0.0015387596248766973     0.6949084461065493
0.0015633080866630982     0.6948652238664944
0.001587725811107079      0.6948216369176997
0.0016121435355510598     0.6947780696378081
0.001636431218918351      0.6947273621243402
0.001660718902285642      0.6946766734602615
0.0016848821852035979     0.6946145991812976
0.0017090454681215536     0.6945525423380139
0.0017332013950038738     0.6944791781018393
0.0017573573218861939     0.694405830357486
0.0017815551964641967     0.694325734649136
0.0018057530710421997     0.6942456574521072
0.0018299929661596609     0.6941656419950454
0.0018542328612771223     0.6940856506076104
0.0018785148499043196     0.6940116786663745
0.001902796838531517      0.6939377370359604
0.001927120993765462      0.6938725205605271
0.001951445148999407      0.6938073378780371
0.0019758115440640274     0.6937491327956578
0.0020001779391286474     0.6936909616863705
0.0020245866473750304     0.6936340807432927
0.002048995355621413      0.693577232735804
0.002073446450528019      0.6935145200682417
0.0020978975454346246     0.6934518394933523
0.002122391100607534      0.6933777960873194
0.0021468846557804433     0.6933037835568815
0.0021714207449535323     0.693217435762372
0.0021959568341266217     0.6931311176925119
0.002220535531161812      0.6930364304247442
0.0022451142281970024     0.6929417744621088
0.0022697356070844957     0.6928457626125885
0.0022943569859719885     0.6927497879801475
0.0023190088504658948     0.6926592412604603
0.0023436607149598014     0.6925687393774727
0.0023682531019429028     0.6924875068481986
0.0023928454889260036     0.6924063238523067
0.0024173604904335778     0.6923332375453846
0.0024418754919411523     0.6922602013045144
0.002466313351483999      0.6921898044180922
0.0024907512110268456     0.6921194560652126
0.002515112171349502      0.6920445456728939
0.002539473131672159      0.6919696822395878
0.002563757434755314      0.691884559069803
0.0025880417378384693     0.6917994811328937
0.0026122496249013642     0.6917027970606849
0.0026364575119642592     0.6916061567097829
0.0026605892234670882     0.6915012870925539
0.0026847209349699173     0.6913964621373175
0.0027087767106162017     0.6912898933755413
0.0027328324862624866     0.691183374370341
0.0027568125650014787     0.6910815296880607
0.0027807926437404713     0.6909797418975684
0.002804697263769511      0.6908864042153652
0.002828601883798551      0.6907931286354468
0.0028524312825654353     0.6907080602939535
0.00287626068133232       0.6906230553434226
0.002900015095537667      0.6905421012762801
0.0029237695097430135     0.6904612092591444
0.0029474491753426046     0.6903779454609518
0.002971128840942196      0.6902947418499559
0.002994786065556826      0.690203098509593
0.0030184432901714563     0.6901115137693764
0.003042163061705545      0.6900084975004598
0.003065882833239633      0.6899055386933576
0.0030896665164417804     0.6897928984437488
0.0031134501996439284     0.6896803163060203
0.003137297966720738      0.6895633624652572
0.003161145733797548      0.6894464713149734
0.0031850577574196208     0.6893315955649254
0.003208969781041694      0.6892167902425287
0.003232946234344898      0.6891087668466012
0.003256922687648102      0.6890008210682629
0.003280963744234794      0.6889008747714733
0.0033050048008214862     0.688801009614771
0.003329110634761794      0.6887062163883096
0.0033532164687021014     0.6886115042612094
0.003377387254535171      0.6885159284918493
0.0034015580403682407     0.6884204324683665
0.0034257939531035057     0.6883175343774458
0.0034500298658387703     0.6882147145425819
0.0034743310809572246     0.6881006285271652
