% Model:              reactor_model_6-2_with_err.mph
% Version:            COMSOL 5.4.0.388
% Date:               Feb 18 2020, 15:43
% Dimension:          1
% Nodes:              2817
% Expressions:        1
% Description:        Line graph
% r                       Height
0                         0.7120617019792859
2.5798473197132997E-5     0.7120639210745683
5.159694639426599E-5      0.712066140137224
7.729104102652226E-5      0.7120717449534237
1.0298513565877851E-4     0.7120773495207463
1.2857527403350774E-4     0.7120877620780615
1.5416541240823695E-4     0.7120981735511946
1.7965201512416107E-4     0.7121075441847532
2.051386178400852E-4      0.712116913924441
2.3052210379422458E-4     0.7121225261128632
2.55905589748364E-4       0.7121281378479415
2.811863761429125E-4      0.7121269412270489
3.06467162537461E-4       0.7121257446783081
3.316456648866444E-4      0.7121159523480755
3.568241672358279E-4      0.7121061604525718
3.8190079937273956E-4     0.7120884861482316
4.069774315096512E-4      0.7120708126345858
4.319526055930388E-4      0.712048631052229
4.569277796764264E-4      0.7120264509748633
4.8180190619748496E-4     0.7120044100054237
5.066760327185435E-4      0.7119823714733357
5.314617799573455E-4      0.7119642459182026
5.562475271961475E-4      0.7119461232605013
5.810797119998878E-4      0.7119329816301356
6.059118968036283E-4      0.7119198425777579
6.308278079217181E-4      0.7119098857364378
6.557437190398078E-4      0.7118999309228456
6.80743638771031E-4       0.711889073423424
7.057435585022543E-4      0.7118782178446377
7.308277700972322E-4      0.7118616209007467
7.559119816922101E-4      0.7118450260531916
7.81080769356582E-4       0.7118192022441373
8.062495570209539E-4      0.7117933803581789
8.315032059186131E-4      0.7117582335293079
8.567568548162724E-4      0.7117230883935565
8.820956510726045E-4      0.7116823809785696
9.074344473289365E-4      0.7116416762667229
9.328586780340434E-4      0.7116012400072063
9.582829087391502E-4      0.7115608089376361
9.837928619511125E-4      0.7115256778306162
0.0010093028151630747     0.7114905541919092
0.0010348987799112114     0.7114625576958805
0.001060494744659348      0.7114345692033649
0.0010861739238757079     0.7114113560333823
0.001111853103092068      0.7113881502022831
0.0011374729807562428     0.7113642488539896
0.0011630928584204176     0.7113403543971302
0.0011885762927201118     0.7113096584915153
0.001214059727019806      0.7112789693234948
0.0012394074446092204     0.7112377688693697
0.0012647551621986347     0.7111965744559756
0.0012899678858620373     0.7111455807992403
0.00131518060952544       0.7110945926041354
0.001340259058197784      0.711038694414724
0.0013653375068701278     0.710982803134533
0.0013902823956575367     0.7109285362067058
0.0014152272844449457     0.7108742797297474
0.0014400393246451228     0.7108266797462599
0.0014648513648453        0.7107790934221495
0.0014895312639677982     0.7107396184719635
0.0015142111630902964     0.7107001581038896
0.0015387596248766973     0.7106662237133976
0.0015633080866630982     0.7106323031443688
0.001587725811107079      0.7105983651631108
0.0016121435355510598     0.7105644402958002
0.001636431218918351      0.7105243161901914
0.001660718902285642      0.7104842048577769
0.0016848821852035979     0.710433947376136
0.0017090454681215536     0.7103837018174721
0.0017332013950038738     0.7103232815558735
0.0017573573218861939     0.7102628724115352
0.0017815551964641967     0.7101963376802829
0.0018057530710421997     0.7101298152313973
0.0018299929661596609     0.7100633194415489
0.0018542328612771223     0.70999683973535
0.0018785148499043196     0.7099358457307547
0.001902796838531517      0.7098748722182349
0.001927120993765462      0.7098219423443828
0.001951445148999407      0.7097690353511198
0.0019758115440640274     0.7097227126902875
0.0020001779391286474     0.7096764128698949
0.0020245866473750304     0.7096316333979221
0.002048995355621413      0.7095868760012948
0.002073446450528019      0.7095371662971903
0.0020978975454346246     0.7094874782922157
0.002122391100607534      0.7094277681860923
0.0021468846557804433     0.7093680791597177
0.0021714207449535323     0.7092973317036302
0.0021959568341266217     0.7092266044697928
0.002220535531161812      0.7091482758134189
0.0022451142281970024     0.7090699682260755
0.0022697356070844957     0.7089903613997837
0.0022943569859719885     0.708910779620418
0.0023190088504658948     0.7088360960633378
0.0023436607149598014     0.7087614428891705
0.0023682531019429028     0.7086952723499471
0.0023928454889260036     0.7086291354347083
0.0024173604904335778     0.708570560610759
0.0024418754919411523     0.7085120196010917
0.002466313351483999      0.7084561942340789
0.0024907512110268456     0.7084004015391887
0.002515112171349502      0.708340819915354
0.002539473131672159      0.7082812700737201
0.002563757434755314      0.7082126688382341
0.0025880417378384693     0.7081440984662064
0.0026122496249013642     0.7080650915957969
0.0026364575119642592     0.7079861145629847
0.0026605892234670882     0.707899610641111
0.0026847209349699173     0.7078131370037737
0.0027087767106162017     0.7077249413074934
0.0027328324862624866     0.7076367792843662
0.0027568125650014787     0.7075527432294202
0.0027807926437404713     0.7074687458130691
0.002804697263769511      0.7073924121244081
0.002828601883798551      0.7073161206868994
0.0028524312825654353     0.7072474238280568
0.00287626068133232       0.7071787699740941
0.002900015095537667      0.7071140691549173
0.0029237695097430135     0.7070494102921443
0.0029474491753426046     0.7069829297633372
0.002971128840942196      0.7069164900271205
0.002994786065556826      0.7068426896011877
0.0030184432901714563     0.7067689291499331
0.003042163061705545      0.7066849809355122
0.003065882833239633      0.7066010720296367
0.0030896665164417804     0.7065083937180384
0.0031134501996439284     0.7064157550242978
0.003137297966720738      0.7063190444434001
0.003161145733797548      0.7062223764595565
0.0031850577574196208     0.7061274175914565
0.003208969781041694      0.7060325066331798
0.003232946234344898      0.7059437239928565
0.003256922687648102      0.7058549942599119
0.003280963744234794      0.7057736613772875
0.0033050048008214862     0.7056923837491814
0.003329110634761794      0.7056160159470849
0.0033532164687021014     0.7055397032272206
0.003377387254535171      0.705462994195148
0.0034015580403682407     0.7053863393515387
0.0034257939531035057     0.7053033500227253
0.0034500298658387703     0.7052204141124372
0.0034743310809572246     0.7051274949933196
