1086.000	0.040	278.000
1086.000	0.041	277.653
1086.000	0.042	277.554
1086.000	0.043	277.653
1086.000	0.044	277.901
1086.000	0.045	278.247
1086.000	0.046	278.643
1086.000	0.047	279.038
1086.000	0.048	279.396
1086.000	0.049	279.720
1086.000	0.050	280.021
1086.000	0.051	280.309
1086.000	0.052	280.594
1086.000	0.053	280.887
1086.000	0.054	281.197
1086.000	0.055	281.504
1086.000	0.056	281.767
1086.000	0.057	281.946
1086.000	0.058	282.002
1086.000	0.059	281.976
1086.000	0.060	282.045
1086.000	0.061	282.399
1086.000	0.062	283.227
1086.000	0.063	284.719
1086.000	0.064	287.067
1086.000	0.065	290.459
1086.000	0.066	295.086
1086.000	0.067	301.137
1086.000	0.068	308.744
1086.000	0.069	317.894
1086.000	0.070	328.555
1086.000	0.071	340.692
1086.000	0.072	354.273
1086.000	0.073	369.263
1086.000	0.074	385.481
1086.000	0.075	402.429
1086.000	0.076	419.565
1086.000	0.077	436.347
1086.000	0.078	452.237
1086.000	0.079	466.875
1086.000	0.080	480.302
1086.000	0.081	492.610
1086.000	0.082	503.889
1086.000	0.083	514.231
1086.000	0.084	523.727
1086.000	0.085	532.454
1086.000	0.086	540.417
1086.000	0.087	547.606
1086.000	0.088	554.006
1086.000	0.089	559.608
1086.000	0.090	564.398
1086.000	0.091	568.415
1086.000	0.092	571.777
1086.000	0.093	574.612
1086.000	0.094	577.046
1086.000	0.095	579.205
1086.000	0.096	581.211
1086.000	0.097	583.105
1086.000	0.098	584.873
1086.000	0.099	586.497
1086.000	0.100	587.959
1086.000	0.101	589.241
1086.000	0.102	590.337
1086.000	0.103	591.256
1086.000	0.104	592.014
1086.000	0.105	592.625
1086.000	0.106	593.103
1086.000	0.107	593.462
1086.000	0.108	593.717
1086.000	0.109	593.882
1086.000	0.110	593.972
1086.000	0.111	594.000
1086.000	0.112	593.978
1086.000	0.113	593.898
1086.000	0.114	593.748
1086.000	0.115	593.518
1086.000	0.116	593.195
1086.000	0.117	592.768
1086.000	0.118	592.224
1086.000	0.119	591.552
1086.000	0.120	590.741
1086.000	0.121	589.776
1086.000	0.122	588.635
1086.000	0.123	587.299
1086.000	0.124	585.747
1086.000	0.125	583.958
1086.000	0.126	581.912
1086.000	0.127	579.587
1086.000	0.128	576.964
1086.000	0.129	574.020
1086.000	0.130	570.729
1086.000	0.131	567.060
1086.000	0.132	562.982
1086.000	0.133	558.464
1086.000	0.134	553.476
1086.000	0.135	547.985
1086.000	0.136	541.971
1086.000	0.137	535.462
1086.000	0.138	528.514
1086.000	0.139	521.179
1086.000	0.140	513.511
1086.000	0.141	505.549
1086.000	0.142	497.319
1086.000	0.143	488.843
1086.000	0.144	480.145
1086.000	0.145	471.251
1086.000	0.146	462.183
1086.000	0.147	452.974
1086.000	0.148	443.692
1086.000	0.149	434.414
1086.000	0.150	425.219
1086.000	0.151	416.184
1086.000	0.152	407.386
1086.000	0.153	398.902
1086.000	0.154	390.770
1086.000	0.155	382.970
1086.000	0.156	375.478
1086.000	0.157	368.272
1086.000	0.158	361.328
1086.000	0.159	354.624
1086.000	0.160	348.134
1086.000	0.161	341.837
1086.000	0.162	335.709
1086.000	0.163	329.726
1086.000	0.164	323.866
1086.000	0.165	318.104
1086.000	0.166	312.419
1086.000	0.167	306.785
1086.000	0.168	301.181
1086.000	0.169	295.582
1086.000	0.170	289.966
1086.000	0.171	284.309
1086.000	0.172	281.000
1086.000	0.173	275.304
1086.000	0.174	269.609
1086.000	0.175	263.913
1086.000	0.176	258.218
1086.000	0.177	252.522
1086.000	0.178	246.827
1086.000	0.179	241.131
1086.000	0.180	235.436
1086.000	0.181	229.740
1086.000	0.182	224.045
1086.000	0.183	218.349
1086.000	0.184	212.654
1086.000	0.185	206.958
1086.000	0.186	201.263
1086.000	0.187	195.567
1086.000	0.188	189.872
1086.000	0.189	184.176
1086.000	0.190	178.481
1086.000	0.191	172.785
1086.000	0.192	167.090
1086.000	0.193	161.394
1086.000	0.194	155.699
1086.000	0.195	150.003
1086.000	0.196	144.308
1086.000	0.197	138.612
1086.000	0.198	132.917
1086.000	0.199	127.221
1086.000	0.200	121.526
1086.000	0.201	115.830
1088.000	0.040	277.000
1088.000	0.041	276.819
1088.000	0.042	276.749
1088.000	0.043	276.778
1088.000	0.044	276.893
1088.000	0.045	277.082
1088.000	0.046	277.332
1088.000	0.047	277.630
1088.000	0.048	277.965
1088.000	0.049	278.324
1088.000	0.050	278.696
1088.000	0.051	279.070
1088.000	0.052	279.436
1088.000	0.053	279.783
1088.000	0.054	280.101
1088.000	0.055	280.407
1088.000	0.056	280.758
1088.000	0.057	281.214
1088.000	0.058	281.837
1088.000	0.059	282.688
1088.000	0.060	283.827
1088.000	0.061	285.326
1088.000	0.062	287.309
1088.000	0.063	289.922
1088.000	0.064	293.311
1088.000	0.065	297.622
1088.000	0.066	303.000
1088.000	0.067	309.569
1088.000	0.068	317.363
1088.000	0.069	326.393
1088.000	0.070	336.670
1088.000	0.071	348.206
1088.000	0.072	361.011
1088.000	0.073	375.063
1088.000	0.074	390.059
1088.000	0.075	405.566
1088.000	0.076	421.150
1088.000	0.077	436.379
1088.000	0.078	450.817
1088.000	0.079	464.154
1088.000	0.080	476.411
1088.000	0.081	487.664
1088.000	0.082	497.992
1088.000	0.083	507.472
1088.000	0.084	516.180
1088.000	0.085	524.185
1088.000	0.086	531.485
1088.000	0.087	538.040
1088.000	0.088	543.815
1088.000	0.089	548.811
1088.000	0.090	553.135
1088.000	0.091	556.909
1088.000	0.092	560.254
