% Model:              reactor_model_6-2_with_err.mph
% Version:            COMSOL 5.4.0.388
% Date:               Feb 18 2020, 15:43
% Dimension:          1
% Nodes:              2817
% Expressions:        1
% Description:        Line graph
% r                       Height
0                         0.22964412084943514
2.5798473197132997E-5     0.22964238592476474
5.159694639426599E-5      0.2296406510256025
7.729104102652226E-5      0.2296353402877722
1.0298513565877851E-4     0.2296300297857605
1.2857527403350774E-4     0.22961740012964596
1.5416541240823695E-4     0.22960477178856312
1.7965201512416107E-4     0.22959319167810427
2.051386178400852E-4      0.2295816126722791
2.3052210379422458E-4     0.22957165706498348
2.55905589748364E-4       0.2295617022618864
2.811863761429125E-4      0.22955392297817767
3.06467162537461E-4       0.2295461441635291
3.316456648866444E-4      0.22953983977272815
3.568241672358279E-4      0.22953353566180976
3.8190079937273956E-4     0.22952667744340768
4.069774315096512E-4      0.2295198195318214
4.319526055930388E-4      0.22950971793949917
4.569277796764264E-4      0.22949961703255659
4.8180190619748496E-4     0.22948406744104685
5.066760327185435E-4      0.22946851956905404
5.314617799573455E-4      0.22944693299114974
5.562475271961475E-4      0.22942534986393343
5.810797119998878E-4      0.2293994520753673
6.059118968036283E-4      0.22937355936715967
6.308278079217181E-4      0.22934691749068153
6.557437190398078E-4      0.22932028103986807
6.80743638771031E-4       0.2292970013967448
7.057435585022543E-4      0.2292737258716696
7.308277700972322E-4      0.22925653401999024
7.559119816922101E-4      0.22923934433978863
7.81080769356582E-4       0.22922817114695654
8.062495570209539E-4      0.2292169987861906
8.315032059186131E-4      0.22920857746956788
8.567568548162724E-4      0.22920015655862316
8.820956510726045E-4      0.22918904971583987
9.074344473289365E-4      0.22917794361059662
9.328586780340434E-4      0.22915895288266716
9.582829087391502E-4      0.22913996459217528
9.837928619511125E-4      0.22911057458068804
0.0010093028151630747     0.22908119081704828
0.0010348987799112114     0.22904292086632877
0.001060494744659348      0.22900466185605148
0.0010861739238757079     0.22896285150167267
0.001111853103092068      0.22892105436570917
0.0011374729807562428     0.228882758886214
0.0011630928584204176     0.22884447444838765
0.0011885762927201118     0.22881452092225182
0.001214059727019806      0.22878457397076168
0.0012394074446092204     0.2287632302592165
0.0012647551621986347     0.22874188967704495
0.0012899678858620373     0.2287249472764599
0.00131518060952544       0.2287080066904758
0.001340259058197784      0.22868864694071708
0.0013653375068701278     0.2286692895838943
0.0013902823956575367     0.22864125361105264
0.0014152272844449457     0.2286132230374528
0.0014400393246451228     0.22857360656733525
0.0014648513648453        0.22853400146563144
0.0014895312639677982     0.22848442694586443
0.0015142111630902964     0.22843487073900715
0.0015387596248766973     0.2283808494147935
0.0015633080866630982     0.2283268500934428
0.001587725811107079      0.22827550712756392
0.0016121435355510598     0.2282241840010781
0.001636431218918351      0.22818111457248408
0.001660718902285642      0.22813805885470473
0.0016848821852035979     0.22810465497396415
0.0017090454681215536     0.22807125901788824
0.0017332013950038738     0.22804396914077843
0.0017573573218861939     0.22801668428497537
0.0017815551964641967     0.22798892630272105
0.0018057530710421997     0.2279611734446133
0.0018299929661596609     0.22792614734458697
0.0018542328612771223     0.22789112971648814
0.0018785148499043196     0.2278445174101449
0.001902796838531517      0.22779792076407676
0.001927120993765462      0.2277396162670517
0.001951445148999407      0.22768133697396412
0.0019758115440640274     0.22761576813220877
0.0020001779391286474     0.22755023162065927
0.0020245866473750304     0.2274848054265315
0.002048995355621413      0.22741941148615263
0.002073446450528019      0.22736085622590682
0.0020978975454346246     0.22730232652602622
0.002122391100607534      0.22725372796868343
0.0021468846557804433     0.22720514656832508
0.0021714207449535323     0.22716436175151025
0.0021959568341266217     0.22712358859251058
0.002220535531161812      0.2270844576834122
0.0022451142281970024     0.22704533729984003
0.0022697356070844957     0.22700035311649286
0.0022943569859719885     0.22695538308664956
0.0023190088504658948     0.2268990613214704
0.0023436607149598014     0.22684276246922364
0.0023682531019429028     0.226774192294081
0.0023928454889260036     0.22670565696227715
0.0024173604904335778     0.2266288659795169
0.0024418754919411523     0.22655211932692754
0.002466313351483999      0.2264745407041415
0.0024907512110268456     0.226397007484698
0.002515112171349502      0.22632577740363924
0.002539473131672159      0.22625458531833453
0.002563757434755314      0.22619335334519539
0.0025880417378384693     0.22613214892010883
0.0026122496249013642     0.2260793848484824
0.0026364575119642592     0.22602664070364334
0.0026605892234670882     0.22597688612040534
0.0026847209349699173     0.2259271489559669
0.0027087767106162017     0.2258733022219426
0.0027328324862624866     0.22581947604662345
0.0027568125650014787     0.22575608645956138
0.0027807926437404713     0.22569272601813897
0.002804697263769511      0.22561805222368317
0.002828601883798551      0.22554341976161835
0.0028524312825654353     0.22546014725936353
0.00287626068133232       0.22537692688647845
0.002900015095537667      0.2252911354748335
0.0029237695097430135     0.2252053996961643
0.0029474491753426046     0.22512393189791455
0.002971128840942196      0.22504251408847467
0.002994786065556826      0.22496966365663745
0.0030184432901714563     0.22489685268490542
0.003042163061705545      0.2248326049949606
0.003065882833239633      0.22476838738883897
0.0030896665164417804     0.22470872138179515
0.0031134501996439284     0.22464908088060406
0.003137297966720738      0.22458754731353378
0.003161145733797548      0.22452604084948224
0.0031850577574196208     0.2244566063039421
0.003208969781041694      0.22438720679037827
0.003232946234344898      0.22430674330211375
0.003256922687648102      0.22422632776367638
0.003280963744234794      0.2241359321646881
0.0033050048008214862     0.2240455979770888
0.003329110634761794      0.22395033139279336
0.0033532164687021014     0.22385513352196082
0.003377387254535171      0.22376177013182869
0.0034015580403682407     0.22366847269505954
0.0034257939531035057     0.2235826124570636
0.0034500298658387703     0.2234968074855383
